wavenumber_cm-1,intensity
2046.744574290484,0.16124788626962713
2052.754590984975,0.10627225130121046
2058.764607679466,0.0639924316517065
2064.7746243739566,0.03520628719996143
2070.7846410684474,0.017696799216207416
2076.794657762938,0.008127408735297758
2082.804674457429,0.00341029824164451
2088.8146911519198,0.0013074211393275252
2094.824707846411,0.0004579536513393904
2100.8347245409013,0.00014655830423186884
2106.8447412353926,4.285309743929175e-05
2112.854757929883,1.1448191547387582e-05
2118.864774624374,2.794309054628259e-06
2124.8747913188645,6.231532589416612e-07
2130.8848080133557,1.269691420611571e-07
2136.8948247078465,2.3636566015198103e-08
2142.9048414023373,4.020253691648578e-09
2148.914858096828,6.2474878377849e-10
2154.924874791319,8.870339886970355e-11
2160.9348914858097,1.1506890616060903e-11
2166.9449081803004,1.3638248211178757e-12
2172.9549248747912,1.476869349849252e-13
2178.964941569282,1.461195905564828e-14
2184.9749582637733,1.3208627648012556e-15
2190.9849749582636,1.0909122797314695e-16
2196.994991652755,8.231990205164098e-18
2203.005008347245,5.675481880511408e-19
2209.0150250417364,3.5750615218368836e-20
2215.0250417362267,2.057534755459693e-21
2221.035058430718,1.0819164447155528e-22
2227.0450751252088,5.197842858953467e-24
2233.0550918196996,2.281578687810955e-25
2239.0651085141903,9.150201100262895e-27
2245.075125208681,3.352808187019944e-28
2251.085141903172,1.1224568625046062e-29
2257.0951585976627,3.433313747584649e-31
2263.1051752921535,9.594894577846076e-33
2269.1151919866443,2.449908159110096e-34
2275.1252086811355,5.715342781276974e-36
2281.135225375626,1.2181973290847642e-37
2287.145242070117,2.3723342842039355e-39
2293.1552587646074,4.2210161054799534e-41
2299.1652754590987,6.8618467604478145e-43
2305.175292153589,1.0191729836981774e-44
2311.1853088480802,1.3830493356958106e-46
2317.195325542571,1.7147875582552816e-48
2323.205342237062,1.9425216016617068e-50
2329.2153589315526,2.0105009012185687e-52
2335.2253756260434,1.9011902089399e-54
2341.235392320534,1.642592168118134e-56
2347.245409015025,1.296632217579688e-58
2353.2554257095157,9.351617840202664e-61
2359.2654424040065,6.162253711471671e-63
2365.275459098498,3.710011716614553e-65
2371.285475792988,2.040769096526203e-67
2377.2954924874794,1.0256409183879915e-69
2383.3055091819697,4.709553019668711e-72
2389.315525876461,1.9758179379327327e-74
2395.3255425709513,7.573507141144886e-77
2401.3355592654425,2.6523451388787385e-79
2407.3455759599333,8.486838060099575e-82
2413.355592654424,2.481102327592892e-84
2419.365609348915,6.627142648087295e-87
2425.3756260434056,1.6173009560893645e-89
2431.3856427378964,3.6061040165499003e-92
